<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ITC,20210827,13.4,13.8,13.4,13.6,5600
ITD,20210827,17.2,17.3,16.9,17.15,151100
JVC,20210827,4.81,5.29,4.81,5.15,4044800
KBC,20210827,37,39.5,37,39.4,24488900
KDC,20210827,60,60.2,59.1,59.9,2216100
KDH,20210827,38,39.15,37.9,39.15,2906900
KHP,20210827,6.54,6.6,6.48,6.54,133200
KMR,20210827,7.4,7.4,7.23,7.35,222400
KOS,20210827,29,29,28.3,28.55,216800
KPF,20210827,13.9,14.2,13.9,14.2,26600
KSB,20210827,28.3,30.6,28,30.6,3924800
LBM,20210827,59.1,63,59.1,60.1,25300
LCG,20210827,14.55,15.75,14.35,15.75,8365200
LCM,20210827,2.12,2.2,2.12,2.12,31000
LDG,20210827,6.1,6.19,6,6.16,2217300
LEC,20210827,15.2,15.2,15.2,15.2,7000
LGL,20210827,6.1,6.39,6.01,6.39,109000
LHG,20210827,45.8,47.15,45.6,47.15,329100
LIX,20210827,56,56.3,56,56.1,10600
LM8,20210827,9.9,9.9,9.9,9.9,300
LPB,20210827,22.5,22.65,21.7,21.8,8801100
LSS,20210827,13.25,13.85,12.75,13.5,1343500
MBB,20210827,27.75,28.05,27.25,28,18602200
MCG,20210827,3,3.02,2.95,3,16700
MCP,20210827,28.25,28.25,28.25,28.25,100
MDG,20210827,12.5,12.6,12.5,12.6,1400
MHC,20210827,11.65,12,11.55,11.55,2342500
MIG,20210827,21.2,23,21.1,23,3752200
MSB,20210827,27.65,28,27.1,28,4210700
MSH,20210827,81.2,81.2,79.6,80,60600
MSN,20210827,132.1,136.4,132.1,135.9,1927000
MWG,20210827,162.2,164.9,162.2,164.5,1336200
NAF,20210827,32.8,33,32.5,32.85,787100
NAV,20210827,17.65,18.7,17.6,18.7,2300
NBB,20210827,33.1,33.1,32.5,33,147700
NCT,20210827,73.5,73.8,73.5,73.8,1400
NHA,20210827,28,29.7,27.5,29.6,254600
NHH,20210827,38,39.5,37.9,39.2,439300
NKG,20210827,35.5,36.75,35.5,36.45,6446100
NLG,20210827,41.55,42.4,41.1,42.4,2154800
NNC,20210827,23.7,23.95,23.7,23.85,13600
NT2,20210827,19.3,20.45,19.1,20.45,2177500
NTL,20210827,32,34,31.25,34,2366400
NVL,20210827,103.5,103.8,102.7,103.8,2191900
NVT,20210827,8.55,8.69,8.4,8.69,24200
OCB,20210827,22.5,22.5,22.2,22.5,1492000
OGC,20210827,5.52,5.77,5.5,5.77,555600
OPC,20210827,53.7,59.3,53.7,59.3,11400
PAC,20210827,36.05,36.05,34.5,36.05,7200
PC1,20210827,31.5,34.05,31.5,34.05,5656900
PDR,20210827,83.5,85.6,81.8,85,3428600
PET,20210827,24.3,26.1,24.3,25.8,3534700
PGC,20210827,17.95,18.35,17.9,18.35,27800
PGD,20210827,30.5,33.1,30.5,32.65,5700
PGI,20210827,23.9,24.5,23.9,24.1,41500
PHC,20210827,24.25,24.7,24,24.35,814700
PHR,20210827,50,50.3,49.5,50.1,426900
PIT,20210827,5.78,5.78,5.78,5.78,7000
PJT,20210827,11.5,11.5,11.35,11.35,800
PLP,20210827,11.3,12.2,11.3,12.05,864700
PLX,20210827,48.55,49.5,48.55,49.5,797100
PMG,20210827,16,16.2,16,16.2,1000
PNJ,20210827,86.3,88.1,85,85.8,1105000
POM,20210827,16,16.2,15.6,16.1,188600
POW,20210827,11.25,12,11.05,11.9,26372500
PPC,20210827,22.9,24.15,22.85,24.15,1777100
PSH,20210827,17.2,17.2,17,17.2,297300
PTB,20210827,96.8,98.3,96.5,98,134200
PTC,20210827,9.53,9.53,9.52,9.53,2200
PTL,20210827,7.06,7.3,7,7.05,60500
PVD,20210827,17.55,18.3,17.55,18.25,3672000
PVT,20210827,21,22.05,21,21.95,5616400
PXI,20210827,2.98,3.02,2.98,2.99,17400
PXS,20210827,5.5,5.58,5.45,5.58,167900
QCG,20210827,6.2,6.39,6.19,6.25,244100
RAL,20210827,171,172.1,169.4,171.2,15400
RDP,20210827,10,10.4,10,10.3,9000
REE,20210827,62.1,65.6,62.1,65,1983900
